%time,field.data
727240000000,cross-track error :-0.0255529880524
727270000000,cross-track error :-0.0254521369934
727320000000,cross-track error :-0.0247945785522
727420000000,cross-track error :-0.0237286090851
727500000000,cross-track error :-0.0241293311119
727540000000,cross-track error :-0.0229761004448
727570000000,cross-track error :-0.0231629610062
727590000000,cross-track error :-0.0223163366318
727630000000,cross-track error :-0.0228941440582
727650000000,cross-track error :-0.0220313668251
727680000000,cross-track error :-0.02228474617
727700000000,cross-track error :-0.0218895673752
727760000000,cross-track error :-0.0209361314774
727810000000,cross-track error :-0.0207518935204
727840000000,cross-track error :-0.0203939676285
727880000000,cross-track error :-0.0210773944855
727910000000,cross-track error :-0.0196425318718
727970000000,cross-track error :-0.0203399658203
728010000000,cross-track error :-0.0188205838203
728050000000,cross-track error :-0.0186423063278
728090000000,cross-track error :-0.0185309052467
728120000000,cross-track error :-0.0181370377541
728170000000,cross-track error :-0.0167729854584
728210000000,cross-track error :-0.0141673088074
728250000000,cross-track error :-0.0159115195274
728280000000,cross-track error :-0.0186641216278
728320000000,cross-track error :-0.0179619789124
728350000000,cross-track error :-0.0165101289749
728380000000,cross-track error :-0.0134633183479
728420000000,cross-track error :-0.0116450786591
728470000000,cross-track error :-0.00631165504456
728510000000,cross-track error :0.0015264749527
728540000000,cross-track error :0.0108768939972
728580000000,cross-track error :0.0182019472122
728630000000,cross-track error :0.0279278755188
728680000000,cross-track error :0.0391491651535
728740000000,cross-track error :0.0595883131027
728780000000,cross-track error :0.075067281723
728820000000,cross-track error :0.08962059021
728860000000,cross-track error :0.103341221809
728890000000,cross-track error :0.11525118351
728940000000,cross-track error :0.129426956177
728970000000,cross-track error :0.148133039474
729030000000,cross-track error :0.161214709282
729060000000,cross-track error :0.180068969727
729120000000,cross-track error :0.195102930069
729160000000,cross-track error :0.213332772255
729210000000,cross-track error :0.232098698616
729250000000,cross-track error :0.245265960693
729290000000,cross-track error :0.264335155487
729330000000,cross-track error :0.273541212082
729360000000,cross-track error :0.291553020477
729440000000,cross-track error :0.300734877586
729490000000,cross-track error :0.321926474571
729540000000,cross-track error :0.336858034134
729600000000,cross-track error :0.351694941521
729650000000,cross-track error :0.363695383072
729700000000,cross-track error :0.376354455948
729730000000,cross-track error :0.386140108109
729770000000,cross-track error :0.38972723484
729820000000,cross-track error :0.394533872604
729850000000,cross-track error :0.399949550629
729870000000,cross-track error :0.400473475456
729900000000,cross-track error :0.402413129807
729930000000,cross-track error :0.405135631561
729980000000,cross-track error :0.40712928772
730030000000,cross-track error :0.407385110855
730080000000,cross-track error :0.40563762188
730120000000,cross-track error :0.40646314621
730170000000,cross-track error :0.4024964571
730190000000,cross-track error :0.401430249214
730210000000,cross-track error :0.400842308998
730230000000,cross-track error :0.397718071938
730280000000,cross-track error :0.395111680031
730300000000,cross-track error :0.39115023613
730320000000,cross-track error :0.388426423073
730350000000,cross-track error :0.386141061783
730380000000,cross-track error :0.380807161331
730440000000,cross-track error :0.375453352928
730460000000,cross-track error :0.367914319038
730470000000,cross-track error :0.363122820854
730490000000,cross-track error :0.359718441963
730510000000,cross-track error :0.355565071106
730530000000,cross-track error :0.351377487183
730560000000,cross-track error :0.346846103668
730580000000,cross-track error :0.342153191566
730630000000,cross-track error :0.337041854858
730660000000,cross-track error :0.324683904648
730690000000,cross-track error :0.31637775898
730710000000,cross-track error :0.30810713768
730740000000,cross-track error :0.302862048149
730760000000,cross-track error :0.294093728065
730780000000,cross-track error :0.288250207901
730800000000,cross-track error :0.282917141914
730840000000,cross-track error :0.273105025291
730860000000,cross-track error :0.263889312744
730890000000,cross-track error :0.255445480347
730910000000,cross-track error :0.246249437332
730940000000,cross-track error :0.240419149399
730960000000,cross-track error :0.229269742966
730990000000,cross-track error :0.221860527992
731020000000,cross-track error :0.210495591164
731040000000,cross-track error :0.199626088142
731060000000,cross-track error :0.191782355309
731090000000,cross-track error :0.184821486473
731110000000,cross-track error :0.173658847809
731150000000,cross-track error :0.165611505508
731180000000,cross-track error :0.149420022964
731210000000,cross-track error :0.138474464417
731240000000,cross-track error :0.125878334045
731270000000,cross-track error :0.114222049713
731300000000,cross-track error :0.102845788002
731310000000,cross-track error :0.0902622938156
731330000000,cross-track error :0.0821663141251
731370000000,cross-track error :0.0754097700119
731410000000,cross-track error :0.0629756450653
731460000000,cross-track error :0.0470100641251
731520000000,cross-track error :0.0278350114822
731610000000,cross-track error :0.00512218475342
731650000000,cross-track error :-0.025791823864
731670000000,cross-track error :-0.0387377738953
731690000000,cross-track error :-0.04409968853
731710000000,cross-track error :-0.050567984581
731740000000,cross-track error :-0.0562043190002
731770000000,cross-track error :-0.0642327070236
731800000000,cross-track error :-0.0730206370354
731820000000,cross-track error :-0.0791372656822
731840000000,cross-track error :-0.088224709034
731860000000,cross-track error :-0.0941729545593
731890000000,cross-track error :-0.103218615055
731910000000,cross-track error :-0.108750462532
731940000000,cross-track error :-0.114654421806
731950000000,cross-track error :-0.123084485531
731980000000,cross-track error :-0.129418849945
732000000000,cross-track error :-0.133714556694
732030000000,cross-track error :-0.13919711113
732060000000,cross-track error :-0.147111594677
732080000000,cross-track error :-0.152919173241
732100000000,cross-track error :-0.15951693058
732120000000,cross-track error :-0.164029479027
732130000000,cross-track error :-0.169454753399
732150000000,cross-track error :-0.173377215862
732180000000,cross-track error :-0.179376423359
732200000000,cross-track error :-0.182741761208
732220000000,cross-track error :-0.186962962151
732250000000,cross-track error :-0.191085159779
