%time,field.data
1357770000000,cross-track error :-0.00796949863434
1357810000000,cross-track error :-0.0127363801003
1357870000000,cross-track error :-0.0178934335709
1357900000000,cross-track error :-0.0275862216949
1357920000000,cross-track error :-0.0315331816673
1357960000000,cross-track error :-0.0349477529526
1358050000000,cross-track error :-0.040582716465
1358080000000,cross-track error :-0.050187587738
1358120000000,cross-track error :-0.0556295514107
1358150000000,cross-track error :-0.0591073036194
1358190000000,cross-track error :-0.0620949268341
1358220000000,cross-track error :-0.0671977996826
1358280000000,cross-track error :-0.069163441658
1358300000000,cross-track error :-0.0760790705681
1358320000000,cross-track error :-0.0787426233292
1358380000000,cross-track error :-0.0802516341209
1358400000000,cross-track error :-0.087698161602
1358410000000,cross-track error :-0.0898175239563
1358480000000,cross-track error :-0.0915728807449
1358520000000,cross-track error :-0.0967025756836
1358560000000,cross-track error :-0.100163161755
1358570000000,cross-track error :-0.103955507278
1358630000000,cross-track error :-0.106813848019
1358640000000,cross-track error :-0.110432744026
1358680000000,cross-track error :-0.112280249596
1358710000000,cross-track error :-0.115408420563
1358750000000,cross-track error :-0.115677595139
1358770000000,cross-track error :-0.118807733059
1358790000000,cross-track error :-0.120655119419
1358840000000,cross-track error :-0.121315419674
1358880000000,cross-track error :-0.125116944313
1358920000000,cross-track error :-0.126959502697
1358950000000,cross-track error :-0.129467308521
1358980000000,cross-track error :-0.130160152912
1359010000000,cross-track error :-0.132890939713
1359040000000,cross-track error :-0.134522616863
1359040000000,cross-track error :-0.134555757046
1359060000000,cross-track error :-0.135934233665
1359110000000,cross-track error :-0.137004196644
1359120000000,cross-track error :-0.137690424919
1359160000000,cross-track error :-0.137719094753
1359200000000,cross-track error :-0.139960289001
1359220000000,cross-track error :-0.139693319798
1359260000000,cross-track error :-0.141054451466
1359310000000,cross-track error :-0.141306519508
1359340000000,cross-track error :-0.141183674335
1359410000000,cross-track error :-0.141633629799
1359450000000,cross-track error :-0.143037676811
1359470000000,cross-track error :-0.142615199089
1359510000000,cross-track error :-0.142602205276
1359530000000,cross-track error :-0.143366515636
1359580000000,cross-track error :-0.141006529331
1359630000000,cross-track error :-0.139806449413
1359670000000,cross-track error :-0.137763381004
1359710000000,cross-track error :-0.136020243168
1359750000000,cross-track error :-0.135795533657
1359790000000,cross-track error :-0.132946670055
1359830000000,cross-track error :-0.130698144436
1359850000000,cross-track error :-0.128446936607
1359870000000,cross-track error :-0.127707958221
1359890000000,cross-track error :-0.12458473444
1359940000000,cross-track error :-0.123005330563
1360100000000,cross-track error :-0.120484292507
1360140000000,cross-track error :-0.103492081165
1360210000000,cross-track error :-0.10025626421
1360270000000,cross-track error :-0.0937602519989
1360320000000,cross-track error :-0.0876735448837
1360360000000,cross-track error :-0.0827403664589
1360410000000,cross-track error :-0.0803208947182
1360470000000,cross-track error :-0.0722782611847
1360530000000,cross-track error :-0.0671249032021
1360550000000,cross-track error :-0.0617989301682
1360610000000,cross-track error :-0.0590997934341
1360640000000,cross-track error :-0.0535500049591
1360680000000,cross-track error :-0.0500668883324
1360700000000,cross-track error :-0.0461581945419
1360740000000,cross-track error :-0.0447306632996
1360810000000,cross-track error :-0.0412114858627
1360860000000,cross-track error :-0.0334178805351
1360890000000,cross-track error :-0.0284354686737
1360910000000,cross-track error :-0.0265753865242
1360930000000,cross-track error :-0.0237645506859
1360980000000,cross-track error :-0.0213681459427
1361000000000,cross-track error :-0.0175719857216
1361040000000,cross-track error :-0.0156871080399
1361080000000,cross-track error :-0.012540102005
1361120000000,cross-track error :-0.00901997089386
1361150000000,cross-track error :-0.0063601732254
1361200000000,cross-track error :-0.00161558389664
1361270000000,cross-track error :0.00142538547516
1361310000000,cross-track error :0.00584626197815
1361360000000,cross-track error :0.00996017456055
1361380000000,cross-track error :0.0132926702499
1361430000000,cross-track error :0.0151067972183
1361460000000,cross-track error :0.0190687179565
1361470000000,cross-track error :0.0208820104599
1361530000000,cross-track error :0.0222557783127
1361570000000,cross-track error :0.0255702733994
1361610000000,cross-track error :0.027450799942
1361650000000,cross-track error :0.0311486721039
1361690000000,cross-track error :0.0322207212448
1361710000000,cross-track error :0.0342216491699
1361750000000,cross-track error :0.0355067253113
1361790000000,cross-track error :0.0375665426254
1361810000000,cross-track error :0.0400130748749
1361870000000,cross-track error :0.0413782596588
1361910000000,cross-track error :0.0431622266769
1361940000000,cross-track error :0.0446380376816
1361980000000,cross-track error :0.0451202392578
1362020000000,cross-track error :0.0485625267029
1362050000000,cross-track error :0.0500811338425
1362070000000,cross-track error :0.0507698059082
1362100000000,cross-track error :0.051917552948
1362130000000,cross-track error :0.0530060529709
1362160000000,cross-track error :0.054105758667
1362180000000,cross-track error :0.0550838708878
1362210000000,cross-track error :0.0554208755493
1362250000000,cross-track error :0.0568854808807
1362280000000,cross-track error :0.0578806400299
1362320000000,cross-track error :0.0584180355072
1362380000000,cross-track error :0.0589816570282
1362420000000,cross-track error :0.0615639686584
1362450000000,cross-track error :0.0619117021561
1362460000000,cross-track error :0.0623680353165
1362520000000,cross-track error :0.0634179115295
1362540000000,cross-track error :0.0641361474991
1362570000000,cross-track error :0.0624099969864
1362640000000,cross-track error :0.0634664297104
1362670000000,cross-track error :0.064300775528
1362710000000,cross-track error :0.0640225410461
1362750000000,cross-track error :0.0651066303253
1362790000000,cross-track error :0.0648312568665
1362810000000,cross-track error :0.0666199922562
1362850000000,cross-track error :0.0653206110001
1362900000000,cross-track error :0.066220998764
1362930000000,cross-track error :0.0669952630997
1362970000000,cross-track error :0.0658359527588
1363000000000,cross-track error :0.0659916400909
1363030000000,cross-track error :0.0658377408981
1363060000000,cross-track error :0.0661760568619
1363100000000,cross-track error :0.0654747486115
1363130000000,cross-track error :0.0666620731354
1363170000000,cross-track error :0.0658105611801
1363200000000,cross-track error :0.0657645463943
1363250000000,cross-track error :0.0668087005615
1363270000000,cross-track error :0.065233707428
1363310000000,cross-track error :0.0654371976852
1363340000000,cross-track error :0.0645439624786
1363360000000,cross-track error :0.0649365186691
1363400000000,cross-track error :0.064368724823
1363440000000,cross-track error :0.0634608268738
1363460000000,cross-track error :0.0651043653488
1363490000000,cross-track error :0.0641224384308
1363520000000,cross-track error :0.0637310743332
1363560000000,cross-track error :0.0634665489197
1363610000000,cross-track error :0.0627068281174
1363660000000,cross-track error :0.0624777078629
1363690000000,cross-track error :0.0615686178207
1363730000000,cross-track error :0.060808300972
1363760000000,cross-track error :0.0603486299515
1363810000000,cross-track error :0.0597217082977
1363860000000,cross-track error :0.05992436409
1363920000000,cross-track error :-0.89999999851
1363960000000,cross-track error :0.0579652786255
1363980000000,cross-track error :0.0576274394989
1364050000000,cross-track error :0.0590541362762
1364090000000,cross-track error :0.0636168718338
1364140000000,cross-track error :0.0637489557266
1364170000000,cross-track error :0.0631093978882
1364220000000,cross-track error :0.0606937408447
1364250000000,cross-track error :0.0576415061951
1364300000000,cross-track error :0.0556256771088
1364330000000,cross-track error :0.0544782876968
1364380000000,cross-track error :0.0513921976089
1364420000000,cross-track error :0.0484681129456
1364450000000,cross-track error :0.046657204628
1364470000000,cross-track error :0.0450204610825
1364510000000,cross-track error :0.0438752174377
1364530000000,cross-track error :0.0422053337097
1364560000000,cross-track error :0.0407849550247
1364580000000,cross-track error :0.0401999950409
1364620000000,cross-track error :0.0374742746353
1364640000000,cross-track error :0.0338275432587
1364690000000,cross-track error :0.0334184169769
1364730000000,cross-track error :0.0299409627914
1364760000000,cross-track error :0.0256479978561
1364790000000,cross-track error :0.0247948169708
1364820000000,cross-track error :0.022318482399
1364850000000,cross-track error :0.0200453996658
1364880000000,cross-track error :0.0179213285446
1364920000000,cross-track error :0.0160447359085
1364950000000,cross-track error :0.0127040147781
1364990000000,cross-track error :0.0112167596817
1365020000000,cross-track error :0.00780367851257
1365060000000,cross-track error :0.00629580020905
1365080000000,cross-track error :0.00388669967651
1365110000000,cross-track error :0.00197374820709
1365150000000,cross-track error :-0.00129908323288
1365180000000,cross-track error :-0.00308191776276
